Timestamp,Title,Website Url ,Brief Description,"Useful Info (Phone #, Email, Hours, Point of Contact, etc.)",What Category(s)?,Gender,Race/Ethnicity,Age,Marital Status,Employment Status,Sexual Orientation,Beliefs,Criminal Status,Citizenship,Time Period,Is this a new resource or an update to an existing entry?
11/19/2018 13:59:44,Family Promise Chicago North Shore (FPCNS),https://familypromise.org/the-latest/family-promise-welcomes-chicago-north-shore/,Family Promise serves families with young children who are homeless or at risk of becoming homeless.  Provides 3 nutritious meals a day.,"Tracy L. McKeithen, M.A. Network Director
847-475-4500
tracy@fpcnorthshore.org",Food,any_gender,any_race,any_age_group,any_marital_status,any_employment,any_orientation,any_beliefs,any_criminal_status,any_citizenship_status,long_term,new
11/20/2018 12:45:54,Homelessness Prevention Suburban Cook County ,http://www.dhs.state.il.us/page.aspx?item=30366,We have a food pantry that consists of a client choice menu that includes the basic food groups and a community garden which allows our clients to grow their own fruits and vegetables.  We also offer clients an opportunity to apply for food stamps through our SNAP Outreach program.,"Monday–Friday
10am–2pm 
877.426.6515",Food,any_gender,any_race,any_age_group,any_marital_status,any_employment,any_orientation,any_beliefs,any_criminal_status,any_citizenship_status,"long_term, short_term",new
11/20/2018 12:58:44,Interfaith Action of Evanston's Hospitality Center,http://www.interfaithactionofevanston.org/what-is-interfaith-action/services/hospitality-center/,"Inspired by diverse faiths and shared values, Interfaith Action of Evanston brings people together to serve hungry and homeless people, pursue interfaith dialogue, and engage in advocacy that promotes social justice.","Monday - Friday 
7:00am - 11:00am. 
St. Mark’s Episcopal Church, 1509 Ridge Ave, Evanston.",Food,any_gender,any_race,any_age_group,any_marital_status,any_employment,any_orientation,"any_beliefs, christian",any_criminal_status,any_citizenship_status,short_term,new
11/20/2018 13:01:15,Connection's Drop-In,https://www.connect2home.org/housing.html,Services available include: ​Food Pantry,"Monday - Thursday 1:30pm - 4:00pm
 Friday 10:30am - 1:00pm
1458 Chicago Ave, Evanston
Basement entrance located on the northwest corner of Lake Street Church. ",Food,any_gender,any_race,any_age_group,any_marital_status,any_employment,any_orientation,any_beliefs,any_criminal_status,any_citizenship_status,short_term,new
11/20/2018 13:13:09,"Broadway Youth Center - Chicago, IL",http://www.howardbrown.org/byc,"A safe and affirming space for youth to receive hot meals
Free services for homeless and LGBTQ youth age 12-24. ","Hours of Operation: 
Monday, Tuesday, Thursday, Friday 9:00 am - 5:00 pm 
4009 N Broadway Chicago, IL 60613
773-299-7600",Food,gender_nonconforming,any_race,"children, teens, young_adults",any_marital_status,any_employment,"homosexual, bisexual, lgbt",any_beliefs,any_criminal_status,any_citizenship_status,"long_term, short_term",new
12/2/2018 14:01:10,Family Promise Chicago North Shore (FPCNS),https://familypromise.org/the-latest/family-promise-welcomes-chicago-north-shore/,"Family Promise serves families with young children who are homeless or at risk of becoming homeless. 
",847-475-4500; tracy@fpcnorthshore.org  ,"Housing, Family",any_gender,any_race,"children, teens",Family,any_employment,any_orientation,any_beliefs,any_criminal_status,any_citizenship_status,long_term,new
12/2/2018 14:10:31,Connections for the Homeless - Evanston,https://www.connect2home.org/housing.html,"Operate a range of housing programs to help people more from homelessness to housing as quickly as possible. To help build the economic and housing security of families and transitional aged youth (18 to 24 years of age) that are unstably housed. Our short-term housing programs, coupled with robust case management, help our participants develop the skills and confidence they need to live and thrive in our community. Services available include: ​Supportive Housing, Transitional Housing, shelter","Main Office at 847.475.7070, Monday - Friday from 8:30am - 4:30pm; Monday - Thursday 1:30pm - 4:00pm; Friday 10:30am - 1:00pm; 1458 Chicago Ave, Evanston. Basement entrance located on the northwest corner of Lake Street Church;  Intakes are by appointment only by calling 847-424-0945 ext. 15. Clients must arrive by 7 p.m. and depart by 7 a.m. Lockers are available for people to keep their belongings during the day.",Housing,any_gender,any_race,"any_age_group, Family",any_marital_status,any_employment,any_orientation,any_beliefs,any_criminal_status,us_citizen,"long_term, short_term",new
12/2/2018 14:16:26,Mary Lou's Place - Domestic Violence Shelter,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14935,"32-bed residential facility. Women and children, including boys up to the age of 12, are able to access emergency shelter for up to 90 days. Mary Lou's Place is handicapped accessible. When a woman arrives at the Shelter, her immediate needs, as well as those of her children, are addressed. Provided a private room for her family, many of which have private bathrooms, residents are given clothing, bed linens and personal supplies. provide daily individual and group counseling sessions, parent/child workshops, and specialized workshops such as health education, job readiness, and financial literacy. This important combination of emotional and practical support enables residents to access the resources and find within themselves the ability to achieve self-sufficiency. 
","1215 Church St, Evanston, IL 60201; (847) 864-8445",Housing,any_gender,any_race,"children, teens, young_adults, adults",any_marital_status,any_employment,any_orientation,any_beliefs,any_criminal_status,us_citizen,long_term,new
12/2/2018 14:24:56,YWCA Evanston - North Shore,https://www.ywca-ens.org/,Overflow for Mary Lou's Place. Can also connect domestic violence victims to shelters throughout the country and can connect women to out-of-state shelters at no cost.,call 847-864-8780 or (toll free) 877-718-1868,Housing,"any_gender, women and childen",any_race,any_age_group,any_marital_status,any_employment,any_orientation,any_beliefs,any_criminal_status,any_citizenship_status,short_term,new
12/2/2018 14:28:27,Hilda's Place Transitional Shelter,http://www.cfthinc.org/,"A transitional shelter for qualified single men and women for whom permanent housing is not yet available. Hilda's Place has room for 20 participants, who typically remain at Hilda's Place for 3 months before moving into their own housing.
Hilda's is not an emergency shelter. To apply, call the Chicago Ave. office, extension 10, and schedule an intake appointment. ","1458 Chicago Avenue Evanston, IL 6020; (847) 424-0945",Housing,any_gender,any_race,"young_adults, adults",single,any_employment,any_orientation,any_beliefs,any_criminal_status,us_citizen,short_term,new
12/2/2018 14:36:27,The Ark,http://www.arkchicago.org/,"Provides up to 120 days of housing for the Jewish community, Kosher food and a complete array of supportive services for homeless families and individuals. ","6450 N Califormia Avenue Chicago, IL 60645; (773)973-1000",Housing,any_gender,any_race,any_age_group,any_marital_status,any_employment,heterosexual,jewish,any_criminal_status,us_citizen,short_term,new
12/2/2018 15:02:10,Sarah's Circle,http://www.sarahs-circle.org/,"A refuge for women who are homeless or in need of a safe space. Services include basic necessities, such as food, bathrooms, showers, laundry, telephone, computers with internet access, and an address for mail; educational and general interest programming on a variety of topics; individualized case management; and housing coordination. 
","4838 N Sheridan Rd Chicago, IL 60640; 773-728-1991",Housing,female,any_race,any_age_group,any_marital_status,any_employment,any_orientation,any_beliefs,any_criminal_status,any_citizenship_status,None,new
